[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run ContentReplace Behavior [ RunTime:0.000560s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run TokenBuild Behavior [ RunTime:0.000501s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000326s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run ShowRuntime Behavior [ RunTime:0.000537s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002123s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ view_end ] --START--
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.000458s ]
[ 2014-10-07T09:03:46+08:00 ] /zj906/index.php/Public/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.000527s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | INFO: Tag[ route_check ] --START--
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | INFO: Run CheckRoute Behavior [ RunTime:0.000741s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000842s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000594s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000668s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 110 行.
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.006777s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000288s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.004482s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000233s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | SQL: SELECT `id`,`user_id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000223s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/codys/ | SQL: SELECT `id` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `passopen` = 'c4ca4238a0b923820dcc509a6f75849b' ) LIMIT 1   [ RunTime:0.000205s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/adminmoneyflows | INFO: Tag[ route_check ] --START--
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/adminmoneyflows | INFO: Run CheckRoute Behavior [ RunTime:0.000694s ]
[ 2014-10-07T09:03:51+08:00 ] /zj906/index.php/YouZi/adminmoneyflows | INFO: Tag[ route_check ] --END-- [ RunTime:0.000786s ]
